Pair Token,Unit Purchased,Price You Purchased,1 SOL Price At Time Of Purchase,Spent On Transaction
SOL/Brandi,0.05,32943.284521,135,6.75
SOL/CMT,0.05,74431.769952,135,6.75
SOL/Nobu,0.1,175432.880101,135,13.5
Nobu/SOL,175432.880101,0.024818592,135,3.35050992
SOL/BURGER,0.35,629806.528902,135,47.25
BURGER/SOL,629806.528902,0.112937769,135,15.246598814999999
SOL/LARA,0.1,212344.931759,135,13.5
SOL/LARA,0.5,720502.154317,135,67.5
SOL/LARA,0.5,577390.697473,135,67.5
SOL/LARA,0.5,524563.158209,135,67.5
LARA/SOL,2034800.941758,0.387866758,135,52.36201233
SOL/BUDDY,1,1138453.516247,135,135
BUDDY/SOL,1138453.516247,1.398819502,135,188.84063277
SOL/ZILLY,0.0005,5530.368764,135,0.0675
SOL/VASE,0.015,33216.784828,135,2.025
SOL/PEPE,0.1,36413.706335,135,13.5
PEPE/SOL,36413.706335,0.00405103,135,0.54688905
SOL/1MCAT,0.04,34964.536641,135,5.4
SOL/1MCAT,0.04,66669.649031,135,5.4
1MCAT/SOL,101634.185672,0.004189186,135,0.56554011
SOL/VADDY,0.05,101553.673117,135,6.75
VADDY/SOL,101553.673117,0.043763319,135,5.908048065
SOL/TATOS,0.100483,336899.497458,135,13.565205
SOL/TATOS,0.1,95856.980257,135,13.5
SOL/TATOS,0.1,88948.153575,135,13.5
TATOS/SOL,521704.63129,0.047156233,135,6.366091454999999
SOL/kichi,0.05,23818.31907,135,6.75
SOL/kichi,0.05,22363.788619,135,6.75
SOL/kichi,0.05,22886.131525,135,6.75
SOL/kichi,0.05,21823.767356,135,6.75
SOL/kichi,0.05,16925.888951,135,6.75
SOL/kichi,0.05,16039.452618,135,6.75
SOL/kichi,0.05,24267.2341,135,6.75
kichi/SOL,60485.832017,0.100584298,135,13.578880230000001
kichi/SOL,36667.512947,0.051758732,135,6.98742882
kichi/SOL,50971.237275,0.247167996,135,33.36767946
SOL/WINE,0.1,17866.591834,135,13.5
WINE/SOL,17866.591834,0.118077054,135,15.94040229
SOL/LAZY,0.1,847936.222588,135,13.5
SOL/LAZY,0.05,504408.767314,135,6.75
SOL/LAZY,0.05,141826.815205,135,6.75
LAZY/SOL,1494171.805107,0.079582689,135,10.743663015
SOL/FATHERPEPE,0.1,36038.960345,135,13.5
FATHERPEPE/SOL,36038.960345,0.119316778,135,16.10776503
SOL/BPONKE,0.05,2686003.803723,135,6.75
BPONKE/SOL,2686003.803723,0.023848613,135,3.219562755
SOL/069420,0.1,137625.511102,135,13.5
069420/SOL,137625.511102,0.045075707,135,6.085220445
SOL/FPEPE,0.05,411551.669742,135,6.75
FPEPE/SOL,205775.834871,0.033569286,135,4.53185361
